,Question,Answer
0,"C'mon, you're going out with the guy! There's gotta be something wrong with him!","All right Joey, be nice. So does he have a hump? A hump and a hairpiece?"
1,"Okay, everybody relax. This is not even a date. It's just two people going out to dinner and- not having sex.",Sounds like a date to me.
2,,"Alright, so I'm back in high school, I'm standing in the middle of the cafeteria, and I realize I am totally naked."
3,"Oh, yeah. Had that dream.","Then I look down, and I realize there's a phone... there."
4,Instead of...?,That's right.
5,No.,"All of a sudden, the phone starts to ring. Now I don't know what to do, everybody starts looking at me."
6,And they weren't looking at you before?!,"Finally, I figure I'd better answer it, and it turns out it's my mother, which is very-very weird, because- she never calls me!"
7,"I just feel like someone reached down my throat, grabbed my small intestine, pulled it out of my mouth and tied it around my neck...",Cookie?
8,"No!! Okay?! Why does everyone keep fixating on that? She didn't know, how should I know?",Sometimes I wish I was a lesbian... Did I say that out loud?
9,,And I just want a million dollars!
10,"Now I'm guessing that he bought her the big pipe organ, and she's really not happy about it.",Tuna or egg salad? Decide!
11,"If I let go of my hair, my head will fall off.","Ooh, she should not be wearing those pants."
12,I say push her down the stairs.,Push her down the stairs! Push her down the stairs! Push her down the stairs!
13,,"Please don't do that again, it's a horrible sound."
14,Yes!,"Ooh, this is a Dear Diary moment."
15,Hey! Paul! Hi! The Wine Guy! Hey!,"I'm sorry, I didn't catch your name. Paul, was it?"
16,"Right, you're not even getting your honeymoon, God.. No, no, although, Aruba, this time of year... talk about your- -big lizards... Anyway, if you don't feel like being alone tonight, Joey and Chandler are coming over to help me put together my new furniture.","Yes, and we're very excited about it."
17,I'm thinking we've got a bookcase here.,It's a beautiful thing.
18,What's this?,I would have to say that is an 'L'-shaped bracket.
19,Which goes where?,I have no idea.
20,Done with the bookcase!,All finished!
21,"Hey-hey-hey-hey, if you're gonna start with that stuff we're outta here.","Yes, please don't spoil all this fun."
22,You guys.,"Oh, God."
23,You got screwed.,Oh my God!
24,Shut up!,You must stop!
25,That only took me an hour.,"Look, Ross, you gotta understand, between us we haven't had a relationship that has lasted longer than a Mento. You, however have had the love of a woman for four years. Four years of closeness and sharing at the end of which she ripped your heart out, and that is why we don't do it! I don't think that was my point!"
26,I honestly don't know if I'm hungry or horny.,Stay out of my freezer!
27,"Great story! But, I uh, I gotta go, I got a date with Andrea--Angela--Andrea... Oh man,","Angela's the screamer, Andrea has cats."
28,"Isn't this amazing? I mean, I have never made coffee before in my entire life.",That is amazing.
29,"Y'know, I figure if I can make coffee, there isn't anything I can't do.","If can invade Poland, there isn't anything I can't do."
30,"Hello, Paul.","Hi, Paul, is it?"
31,Okayyy!,"All right, kids, I gotta get to work. If I don't input those numbers,... it doesn't make much of a difference..."
32,"Look, it was a job all right?","'Look, Gippetto, I'm a real live boy.'"
33,I will not take this abuse.,"""You're right, I'm sorry. """"Once I was a wooden boy, a little wooden boy..."""""""
34,Are you kidding? I'm trained for nothing! I was laughed out of twelve interviews today.,And yet you're surprisingly upbeat.
35,"You would be too if you found John and David boots on sale, fifty percent off!","Oh, how well you know me..."
36,"Cut, cut, cut, cut, cut, cut, cut..","Y'know, if you listen closely, you can hear a thousand retailers scream."
37,Would anybody like more coffee?,"Did you make it, or are you just serving it?"
38,"Yeah. Yeah, I'll have a cup of coffee.","Kids, new dream... I'm in Las Vegas."
39,"Ugh. Excuse me, could you give this to that guy over there? Go ahead. Thank you. Sorry. Okay, Las Vegas.","Okay, so, I'm in Las Vegas... I'm Liza Minelli-"
40,Absolutely.,"Yeah, I think for us, kissing is pretty much like an opening act, y'know? I mean it's like the stand-up comedian you have to sit through before Pink Floyd comes out."
41,"Yeah, and-and it's not that we don't like the comedian, it's that-that... that's not why we bought the ticket.","The problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? I mean, we're in the car, we're fighting traffic... basically just trying to stay awake."
42,Pregnant?!,"Oh, I think this is the episode of Three's Company where there's some kind of misunderstanding."
43,Whose little ball of paper is this?!,"Oh, uh, that would be mine. See, I wrote a note to myself, and then I realised I didn't need it, so I balled it up and... ...now I wish I was dead."
44,"Look , I'm sorry, guys, I just don't wanna give them any more ammunition than they already have.","Yes, and we all know how cruel a parent can be about the flatness of a child's pillow."
45,"That's because as far as my parents are concerned, Ross can do no wrong. Y'see, he's the Prince. Apparently they had some big ceremony before I was born.","Ew, ew, ew, ew ew ew ew ew!"
46,What?,Ugly Naked Guy got a Thighmaster!
47,"Easy Rach, we'll find it. Won't we!",Oh! Yeah!
48,Doy! Probably right before she lost it!,You don't get a lot of 'doy' these days...
49,"I know I had it this morning, and I know I had it when I was in the kitchen with...",...Dinah?
50,"Oh, but look how straight those noodles are!","Now, Monica, you know that's not how you look for an engagement ring in a lasagne..."
51,I just... can't do it.,Boys? We're going in.
52,"Yeah. Do that for another two hours, you might be where I am right about now.","Kinda puts that whole pillow thing in perspective, huh, Mon?"
53,What does she mean by 'involved'?,"I mean presumably, the biggest part of your job is done."
54,"Yeah. We don't speak. She's like this high-powered, driven career type.",What does she do?
55,"Chandler, you're an only child, right? You don't have any of this.","Well, no, although I did have an imaginary friend, who... my parents actually preferred."
56,What are we supposed to be seeing here?,"I dunno, but.. I think it's about to attack the Enterprise."
57,"Since always. It's like dating language. Y'know, like 'It's not you' means 'It is you'.",Or 'You're such a nice guy' means 'I'm gonna be dating leather-wearing alcoholics and complaining about them to you'.
58,Yeah. Cushions the blow.,"Yeah, it's like when you're a kid, and your parents put your dog to sleep, and they tell you it went off to live on some farm."
59,"What? Wh- hello? The Millners' farm in Connecticut? The Millners, they had this unbelievable farm, they had horses, and, and rabbits that he could chase and it was- it w- .....Oh my God, Chi Chi!","""""""So how does it feel knowing you're about to die?"""""""
60,"""""""Warden, in five minutes my pain will be over. But you'll have to live with the knowledge that you sent an honest man to die.""""""","Hey, that was really good!"
61,Thanks! Let's keep going.,"""Okay. """"So. Whaddya want from me, Damone, huh?"""""""
62,"""""""I just wanna go back to my cell. 'Cause in my cell, I can smoke.""""""","""""""Smoke away."""""""
63,,I think this is probably why Damone smokes in his cell alone.
64,What?,Relax your hand!
65,,Not so much!
66,Whoah!,Hey!
67,Hey!,"Alright, now try taking a puff."
68,,Alright.. okay. No. Give it to me.
69,"No no no, I am not giving you a cigarette.","It's fine, it's fine. Look, do you wanna get this part, or not? Here."
70,,"Don't think of it as a cigarette. Think of it as the thing that's been missing from your hand. When you're holding it, you feel right. You feel complete."
71,Y'miss it?,"Nah, not so much. Alright, now we smoke. Oh.. my.. God."
72,- and there's five hundred extra dollars in my account.,"Oh, Satan's minions at work again..."
73,What is this?!,"I'm smoking. I'm smoking, I'm smoking."
74,"Oh, I can't believe you! You've been so good, for three years!",And this- is my reward!
75,"Hold on a second, alright? Just think about what you went through the last time you quit.","Okay, so this time I won't quit!"
76,Ohhh! Put it out!,"All right! I'm putting it out, I'm putting it out."
77,No. Not after what happened with Steve.,What are you talking about? We love Schhteve! Schhteve was schhexy!.. Sorry.
