,"අපට මෙය ඉක්මන් කළ හැකිද? Roxanne Korrine සහ Andrew Barrett හතර දෙනා අතරේ ඇදහිය නොහැකි තරම් බිහිසුණු මහජන විරසකයක් ඇති කරගෙන සිටිති. 
නැවතත්.","හොඳයි, මම හිතුවා අපි උච්චාරණයෙන් පටන් ගනිමු, එය ඔබට හරි නම්."
0,"හොඳයි, මම හිතුවා අපි උච්චාරණයෙන් පටන් ගනිමු, එය ඔබට හරි නම්.",Hacking and gagging and spitting part එක නෙවෙයි. කරුණාකර.
1,Hacking and gagging and spitting part එක නෙවෙයි. කරුණාකර.,හරි... එහෙනම් කොහොමද අපි ප්‍රංශ කෑම ටිකක් හදලා බලන්නේ. සෙනසුරාදා? රෑ?
2,ඔයා මගෙන් එලියට අහනවා. ඒක හරිම හුරතල්. නැවතත් ඔබේ නම කුමක්ද?,එය අමතක කරන්න.
3,"නැහැ, නැහැ, ඒක මගේ වරදක් -- අපිට හරි හඳුන්වීමක් තිබුණේ නැහැ --",කැමරන්.
4,කැමරන්.,"කාරණය නම්, කැමරන් -- මම විශේෂයෙන් පිළිකුල් සහගත පරාජිත වර්ගයක අනුකම්පාව යටතේ සිටිමි. මගේ නංගී. ඒකි එනකම් මට යාලු වෙන්න බෑ."
5,"කාරණය නම්, කැමරන් -- මම විශේෂයෙන් පිළිකුල් සහගත පරාජිත වර්ගයක අනුකම්පාව යටතේ සිටිමි. මගේ නංගී. ඒකි එනකම් මට යාලු වෙන්න බෑ.",ඇයට ඉතා පහසුවෙන් දිනයක් ලබා ගත හැකි බව පෙනේ ...
6,මන්ද?,"නොවිසඳුණු අභිරහස. ඇය උසස් පෙළ ආරම්භ කරන විට ඇත්තෙන්ම ජනප්‍රිය වූවාය, පසුව එය ඇයට අසනීප වූවාක් මෙන් විය."
7,"නොවිසඳුණු අභිරහස. ඇය උසස් පෙළ ආරම්භ කරන විට ඇත්තෙන්ම ජනප්‍රිය වූවාය, පසුව එය ඇයට අසනීප වූවාක් මෙන් විය.",එය ලැජ්ජාවක්.
8,"දෙයියනේ, අපිට කැට්ට පෙම්වතෙක් හොයාගන්න පුළුවන් නම්...",මට කරන්න පුළුවන් දේ බලන්න දෙන්න.
9,C'esc ma tete. මේ මගේ හිසයි,හරි. බලන්න? ඔබ ප්‍රශ්නාවලිය සඳහා සූදානම්.
10,හරි. බලන්න? ඔබ ප්‍රශ්නාවලිය සඳහා සූදානම්.,ඒ උනාට ඒක කොහොම කියන්නද කියලා මට දැනගන්න ඕන නෑ. මට ප්‍රයෝජනවත් දේවල් දැනගන්න ඕන. හොඳ ගබඩා කොහෙද වගේ. ෂැම්පේන් සඳහා කොපමණ මුදලක් වැය වේද? චැට් වගේ දේවල්. මගේ ජීවිතේ කවදාවත් කාටවත් ඔලුව උස්සන්න වෙලා නෑ.
11,"ඒ උනාට ඒක කොහොම කියන්නද කියලා මට දැනගන්න ඕන නෑ. මට ප්‍රයෝජනවත් දේවල් දැනගන්න ඕන. හොඳ ගබඩා කොහෙද වගේ. 
ෂැම්පේන් සඳහා කොපමණ මුදලක් වැය වේද? චැට් වගේ දේවල්.  මගේ ජීවිතේ කවදාවත් කාටවත් ඔලුව උස්සන්න වෙලා නෑ.",ඒ ඒ තරම් ලස්සන එකක් නිසා.
12,ඒ ඒ තරම් ලස්සන එකක් නිසා.,ප්රංශ අමතක කරන්න.
13,අපේ පුංචි Find the Wench A Date සැලැස්ම ක්‍රියාත්මක වන්නේ කෙසේද?,"හොඳයි, මම හිතන කෙනෙක් ඉන්නවා වෙන්න පුළුවන්..."
14,එතන.,කොහෙද?
15,ඔබේ මනසේ යමක් තිබේද?,මගේ කාර්යයට උදව් කිරීමට මම ඔබ කෙරෙහි විශ්වාසය තැබුවෙමි. ඔබ සහ ඒ මැරයා පැහැදිලිවම අසාර්ථකයි. අපි කවදාවත් අපේ දිනයට යන්නේ නැද්ද?
16,ඔබට මගේ වචනය ඇත. මහත්මයෙක් විදියට,ඔබ මිහිරි ය.
17,ඔබේ හිසකෙස් එවැනි පෙනුමක් ලබා ගන්නේ කෙසේද?,"Eber's Deep Conditioner සෑම දින දෙකකට වරක්. තවද මම කිසි විටෙක, විසරණ ඇමිණුම නොමැතිව බ්ලෝඩ්‍රයර් භාවිතා නොකරමි."
18,අනිවාර්යයෙන්ම තියෙනවා.,"මට ඇත්තටම යන්න ඕන, නමුත් මට බැහැ. නංගි ගියොත් මිසක් නෑ."
19,"මට ඇත්තටම යන්න ඕන, නමුත් මට බැහැ. නංගි ගියොත් මිසක් නෑ.",මම ඒකේ වැඩ කරනවා. නමුත් ඇය ඔහු වෙත යන බවක් නොපෙනේ.
20,ඇය කෙනෙක් නෙවෙයි...,"ලෙස්බියන්? නැත. මම ඇගේ ලාච්චුවක තිබී ජැරඩ් ලෙටෝගේ පින්තූරයක් සොයා ගත්තෙමි, එබැවින් ඇය සමලිංගික ප්‍රවණතා ඇති නොකරන බව මට හොඳටම විශ්වාසයි."
